title,time_stamp_utc,rating,review,vote_count
An exception was raised
Did anyone get their account back,2022-09-29 13:19:03,1,Did anyone get their Locke account back if so please txt me on instagram and tell me how I can get mine back @rinaa0601,0
Snap,2022-09-29 12:53:33,1,Quit locking people out of their accounts for no reason this has happened to me three or four times now. It’s really getting old .,0
troll,2022-09-29 12:12:43,5,easy to troll,0
3d bitmojis,2022-09-29 12:09:25,1,"still to this day one of the most god awful, ugly things to come out of this app are the 3d bitmojis. i wish you would change them.",0
Eye eye,2022-09-29 11:24:23,5,"Cappin!
.
🧩
🇨🇦 Nur",0
Waste of time,2022-09-29 11:22:35,1,"I’m only writing this review and will do it to other apps in the future - quit asking me to review. 

The app itself functions ok, but the stupid tiles with pop culture stuff is ridiculous.",0
Location feature,2022-09-29 11:10:08,1,I hate the location feature this little kid tired to treat me by getting my location in Snapchat thanks alot,0
this app needs to get their stuff together,2022-09-29 10:47:19,1,"lovely app for the most part but they love to ban accounts, and they will do so without telling you why. just because people with lots of viewers get reported because their little fans get mad and snapchat doesnt even look into it. not to mention they refuse to give you an actual way to contact them other than through the support link on their website which is a bit absurd. i have problems id like to address and they dont even wanna hear about it.",0
Snapchat,2022-09-29 10:26:53,5,Snapchat is just overall amazing. It’s the best app I’ve ever used. I love it! Keep up the good work..,0
Streak,2022-09-29 08:16:58,2,Dear developer could you please create a feature that we can block or prevent streaks from those who we don’t want to send us streaks and bother us😑🥺,0
Mass Delete friends,2022-09-29 06:26:52,5,"I love the app but I would suggest snap to add a mass delete friends option because I have way too many people that I don’t talk to and some are just bots, I would suggest Snapchat to do something like that",0
sending snaps!,2022-09-29 06:18:50,5,I use Snapchat all the time it’s probably the app I use most on my phone and overall it’s a great app!! And if you have Snapchat you probably know what streaks are (sending a snap to keep a snap streak going with friends). But it would really help if you could click more friends at once like maybe if there was a “select all” button I’m not sure but it would really help!!,0
Aide,2022-09-29 05:55:01,5,Depuis quelques jours Snapchat se ferme tout seul sur mon iPhone aidez moi s'il vous plaît je ne veux pas perdre tous mes souvenirs,0
Fix bugs,2022-09-29 05:52:38,5,Snapchat not working let it work,0
log in issues,2022-09-29 05:52:09,1,I have been using snap since it has came out as a way of communication . I have never broken the rules or posted anything that went against them . Snapchat keeps locking me out of my account for no reason and I have never had this issue before .,0
Fix bug,2022-09-29 05:03:08,5,Snapchat not working please fix it now,0
I LOVEE IT,2022-09-29 03:50:24,5,Snapchat is cool so cool I looove itt,0
Don’t know hotel to restart,2022-09-29 02:57:28,4,I don’t know how to restart Snapchat cause I want to send pictures to my friends and it’s just a black screen when I try to take a picture,0
لفيو,2022-09-29 02:20:32,5,سو هواي,0
Isabella’s review,2022-09-29 02:14:11,5,I love snap Bc I love talking to my friends,0
Ads are annoying,2022-09-29 02:10:58,3,"Every 5 seconds there’s an ad! Can’t hardly
Get through the stories. BUT other than that it’s ok",0
fix it,2022-09-29 02:02:42,1,"I was snapping with someone, and later on it said I was left on delivered, and it went on for 5 days until today it says that I was snapped back the same night.",0
Lame,2022-09-29 01:46:34,1,Where the 0.5 camera option,0
Feedback,2022-09-29 01:08:27,5,Love how I can communicate with my friends and have filters,0
my account,2022-09-29 01:05:36,1,F snapchat it logged me out of my 3 year account and now i can’t log back in and it says it can’t remember the user so i had to remake a whole new account and lost all my memories snapchat is a piece of trash,0
Account bann,2022-09-29 01:05:06,1,I’ve had my account since 2017 and my account randomly got permanently banned out of the blue. I’m trying to get my pictures back. And I can’t make a new account.,0
Too many bugs,2022-09-29 00:21:53,1,I haven’t been able to stay on snap lately it tells me I’m locked out but then I can long in about 8 hrs later but it just kicks me out again in seconds,0
Because we can call but you guys should let it be without service,2022-09-29 00:21:06,5,Alarm at 10,0
Organized,2022-09-29 00:15:06,4,It is really nice and very organized but the only thing about it is random people invite u to be your friend,0
Great app,2022-09-29 00:04:39,5,This app is great and um pp,0
Great but needs changes,2022-09-28 23:55:14,5,"I love this app! It's great! I had it for a long time now butbthere needs to be some changes
1.needs better/more backgrounds for your avatar
2. Needs to be more poses and more poses of your back and stuff
3.love the app",0
L snap,2022-09-28 22:33:53,1,Got banned for no reasom,0
Did anyone get their account back,2022-09-29 13:19:03,1,Did anyone get their Locke account back if so please txt me on instagram and tell me how I can get mine back @rinaa0601,0
Snap,2022-09-29 12:53:33,1,Quit locking people out of their accounts for no reason this has happened to me three or four times now. It’s really getting old .,0
troll,2022-09-29 12:12:43,5,easy to troll,0
3d bitmojis,2022-09-29 12:09:25,1,"still to this day one of the most god awful, ugly things to come out of this app are the 3d bitmojis. i wish you would change them.",0
Eye eye,2022-09-29 11:24:23,5,"Cappin!
.
🧩
🇨🇦 Nur",0
Waste of time,2022-09-29 11:22:35,1,"I’m only writing this review and will do it to other apps in the future - quit asking me to review. 

The app itself functions ok, but the stupid tiles with pop culture stuff is ridiculous.",0
Location feature,2022-09-29 11:10:08,1,I hate the location feature this little kid tired to treat me by getting my location in Snapchat thanks alot,0
this app needs to get their stuff together,2022-09-29 10:47:19,1,"lovely app for the most part but they love to ban accounts, and they will do so without telling you why. just because people with lots of viewers get reported because their little fans get mad and snapchat doesnt even look into it. not to mention they refuse to give you an actual way to contact them other than through the support link on their website which is a bit absurd. i have problems id like to address and they dont even wanna hear about it.",0
Snapchat,2022-09-29 10:26:53,5,Snapchat is just overall amazing. It’s the best app I’ve ever used. I love it! Keep up the good work..,0
Streak,2022-09-29 08:16:58,2,Dear developer could you please create a feature that we can block or prevent streaks from those who we don’t want to send us streaks and bother us😑🥺,0
Mass Delete friends,2022-09-29 06:26:52,5,"I love the app but I would suggest snap to add a mass delete friends option because I have way too many people that I don’t talk to and some are just bots, I would suggest Snapchat to do something like that",0
